"id","ts","lat","lon","sensor"
"1","2024-04-25 13:02:53","13.7563","100.502","1"
"2","2024-04-25 13:10:45","13.7563","100.502","1"
"3","2024-04-25 13:14:26","13.7563","100.502","1"
"4","2024-04-25 13:16:48","13.7563","100.502","1"
"5","2024-04-25 13:21:26","13.7563","100.502","1"
"6","2024-04-25 13:24:54","13.7563","100.502","1"
"7","2024-04-25 13:30:12","13.7563","100.502","1"
"8","2024-04-25 13:33:32","13.7563","100.502","1"
"9","2024-04-25 13:36:45","13.7563","100.502","1"
"10","2024-04-25 13:40:19","13.7563","100.502","1"
"11","2024-04-25 13:43:58","13.7563","100.502","1"
"12","2024-04-25 13:47:21","13.7563","100.502","1"
"13","2024-04-25 13:51:03","13.7563","100.502","1"
"14","2024-04-25 13:55:29","13.7563","100.502","1"
"15","2024-04-25 14:01:17","13.7563","100.502","1"
"16","2024-04-25 14:06:45","13.7563","100.502","1"
"17","2024-04-25 14:11:22","13.7563","100.502","1"
"18","2024-04-25 14:16:04","13.7563","100.502","1"
"19","2024-04-25 14:20:39","13.7563","100.502","1"
"20","2024-04-25 14:25:17","13.7563","100.502","1"
"21","2024-04-25 14:30:04","13.7563","100.502","1"
"22","2024-04-25 14:34:42","13.7563","100.502","1"
"23","2024-04-25 14:39:19","13.7563","100.502","1"
"24","2024-04-25 14:43:53","13.7563","100.502","1"
"25","2024-04-25 14:48:28","13.7563","100.502","1"
"26","2024-04-25 14:52:57","13.7563","100.502","1"
"27","2024-04-25 14:57:34","13.7563","100.502","1"
"28","2024-04-25 15:02:07","13.7563","100.502","1"
"29","2024-04-25 15:06:38","13.7563","100.502","1"
"30","2024-04-25 15:11:09","13.7563","100.502","1"
"31","2024-04-25 15:15:38","13.7563","100.502","1"
"32","2024-04-25 15:20:16","13.7563","100.502","1"
"33","2024-04-25 15:24:43","13.7563","100.502","1"
"34","2024-04-25 15:29:20","13.7563","100.502","1"
"35","2024-04-25 15:33:56","13.7563","100.502","1"
"36","2024-04-25 15:38:33","13.7563","100.502","1"
"37","2024-04-25 15:43:10","13.7563","100.502","1"
"38","2024-04-25 15:47:46","13.7563","100.502","1"
"39","2024-04-25 15:52:23","13.7563","100.502","1"
"40","2024-04-25 15:56:59","13.7563","100.502","1"
"41","2024-04-25 16:01:36","13.7563","100.502","1"
"42","2024-04-25 16:06:13","13.7563","100.502","1"
"43","2024-04-25 16:10:49","13.7563","100.502","1"
"44","2024-04-25 16:15:26","13.7563","100.502","1"
"45","2024-04-25 16:20:02","13.7563","100.502","1"
"46","2024-04-25 16:24:39","13.7563","100.502","1"
"47","2024-04-25 16:29:15","13.7563","100.502","1"
